feature_name,abs_spearman,abs_pearson,composite_score
qnom_start_frac,0.693216461640916,0.730512445682699,0.704405256853451
innovation,0.657267794972554,0.545238445357161,0.623658990087936
norm_innov_ema,0.629327082589286,0.575522814675746,0.613185802215224
norm_innov_mean_so_far,0.629333390440743,0.54712262325436,0.604670160284828
abs_innov,0.617394940355747,0.513897780172469,0.586345792300764
norm_innov,0.559002074785482,0.428165480729885,0.519751096568803
soc_gate_alpha_ema,0.413680782203014,0.430891995285028,0.418844146127618
soc_est,0.384741238826559,0.494835314590172,0.417769461555643
innov_abs_ema,0.450393439241359,0.243703578228009,0.388386480937354
throughput_frac,0.403294164669267,0.350998605657762,0.387605496965816
