battery_no,cycle_idx,residual,soc_est,tau,innovation,abs_innov,innov_abs_ema,norm_innov,norm_innov_ema,abs_dOCV_dSOC,abs_dOCV_dSOC_ema,throughput_frac,soc_gate_alpha_ema,v_resid_abs_mean_so_far,inv_abs_dOCV_dSOC_mean_so_far,norm_innov_mean_so_far,qnom_start_frac
2,2,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0.730563184123329,100000000,0,0.000277777777777778
2,2,0.00726211449528737,0.0332337532733077,0.0227272727272727,0.150694661659459,0.150694661659459,0.00753473308297297,26.3530825247304,1.31765412623652,14.9026383635459,0.745131918177297,0.0190993765489652,0.05,0.379015880660925,50000000.0335511,13.1765412623652,0.000277777777777778
2,2,0.0108151622902026,0.0519947550651693,0.0454545454545454,0.0270366278077545,0.0270366278077545,0.00850982781921204,4.67840424152037,1.48569163200071,4.19494710641604,0.917622677589234,0.038360476888461,0.0661481409754115,0.25745335892951,33333333.4351614,10.3438289220836,0.000277777777777778
2,2,0.0106681161653854,0.0744558507767633,0.0681818181818182,0.0116791303037114,0.0116791303037114,0.00866829294343701,2.01784137192239,1.5122991189968,2.58910856205763,1.00119697181265,0.0577857920451594,0.0628407339266409,0.20080183001747,25000000.1729294,8.26233203454329,0.000277777777777778
2,2,0.010971780604392,0.0964662359245336,0.0909090909090909,0.00113115405839848,0.00113115405839848,0.00829143599918508,0.195527222146732,1.44646052415429,1.24352532495701,1.01331338946987,0.0773759606551168,0.0596986972303088,0.167263410577077,20000000.2991766,6.64897107206398,0.000277777777777778
2,2,0.013263448925012,0.11648861719069,0.113636363636364,-0.0534944550226948,0.0534944550226948,0.0105515869503606,8.8792969425532,1.81810234507424,0.87131328381263,1.00621338418701,0.0971293556523934,0.106713762368793,0.14235499190902,16666667.1072626,7.02069205047885,0.000277777777777778
2,2,0.0140922834348544,0.137973832267625,0.136363636363636,-0.0214917644818873,0.0214917644818873,0.0110985958269369,3.54658588227112,1.90452652193408,0.673406716855,0.989573050820409,0.117041667250079,0.101378074250354,0.122827603653211,14285714.8755089,6.52439116930631,0.000277777777777778
2,2,0.0140736958737991,0.160306469415457,0.159090909090909,-0.0682043890257185,0.0682043890257185,0.013953885486876,10.6082470945853,2.33971255056664,0.494059940491848,0.964797395303981,0.13710551127731,0.146309170537836,0.110584766142701,12500000.769076,7.03487315996619,0.000277777777777778
2,2,0.0100601406201748,0.186634074255858,0.181818181818182,-0.0723108103438395,0.0723108103438395,0.0168717317297242,10.6013943322713,2.75279663965188,0.325635231890005,0.932839287133283,0.157310092756895,0.188993712010944,0.100510478931961,11111112.1359477,7.43115329022231,0.000277777777777778
2,2,0.00677920648758934,0.212229057975221,0.204545454545455,-0.0387455393529357,0.0387455393529357,0.0179654221108847,5.59365713748043,2.8948396645433,0.235379805224354,0.897966313037836,0.177640953819326,0.229544026410397,0.0911797947184731,10000001.3471982,7.24740367494813,0.000277777777777778
