fold_idx,n_train_batteries,n_val_batteries,n_train_samples,n_val_samples,rmse_sample,mae_sample,mean_battery_rmse,median_battery_rmse,mean_battery_mae,median_battery_mae
1,34,9,2496,641,0.171391998493104,0.118136126139313,0.16969142574101,0.175971535626119,0.11589219061005,0.12378874784634
2,34,9,2471,666,0.170077725183212,0.118051860054132,0.169494589926588,0.167456115923386,0.117641311951474,0.117671522884144
3,34,9,2515,622,0.165135806319277,0.115045404040442,0.163756949756167,0.160425294358013,0.113776263015343,0.114201851348609
4,35,8,2545,592,0.177943690553502,0.120512376663906,0.177053327935901,0.173792515404463,0.119549062124163,0.122287420927933
5,35,8,2521,616,0.175017033095849,0.121423072934159,0.174950682571851,0.175092959814046,0.12148672092116,0.121625266767767
