test_group,battery_no,num_cycles_evaluated,mean_rmse_ekf,mean_rmse_gpr,mean_rmse_bayes,mean_rmse_ekf_late,mean_rmse_gpr_late,mean_rmse_bayes_late,num_bayes_improved_vs_ekf,num_bayes_better_than_gpr,num_bayes_worse_vs_ekf,num_bayes_worse_than_gpr,bayes_improve_rate_vs_ekf,bayes_better_rate_vs_gpr,mean_alpha_bayes,mean_sigma_ekf,mean_sigma_gpr,num_qnom_clamped_cycles
secondary,85,3,0.0282392781059024,0.0308681586208055,0.0262499437805201,NaN,NaN,NaN,2,3,1,0,0.666666666666667,1,0.798166831035562,0.0131898781283293,0.00604215045283831,3
secondary,86,3,0.0271638311117175,0.0284136162514212,0.023579122643192,NaN,NaN,NaN,3,3,0,0,1,1,0.797767168573593,0.0127110568238386,0.00591129160150672,3
secondary,87,3,0.0246387611683786,0.0271828739268143,0.022659310554501,NaN,NaN,NaN,2,3,1,0,0.666666666666667,1,0.80114204374801,0.0130822134869205,0.00589699102774367,3
secondary,88,3,0.0287199078144752,0.0316028984093619,0.0271855942582074,NaN,NaN,NaN,2,3,1,0,0.666666666666667,1,0.806804984916712,0.0137461523621628,0.00616440434914799,3
secondary,89,3,0.0220430365729519,0.0229914748445997,0.0187909453834801,NaN,NaN,NaN,3,3,0,0,1,1,0.788818420372113,0.0134084911570082,0.00618655091810583,3
secondary,90,3,0.0248586901901635,0.0284846064138407,0.0236856151568519,NaN,NaN,NaN,2,3,1,0,0.666666666666667,1,0.775972031198915,0.0125748411182599,0.00620350044805525,3
secondary,91,3,0.0257894116833297,0.0277644877064746,0.0231088397115581,NaN,NaN,NaN,2,3,1,0,0.666666666666667,1,0.805757856101649,0.0136210027915014,0.00602793839112963,3
secondary,92,3,0.0242574586073957,0.0281811504702985,0.0242068655633007,NaN,NaN,NaN,2,3,1,0,0.666666666666667,1,0.796173960326373,0.0127435118400567,0.00588707423132171,3
secondary,93,3,0.0272991703235636,0.0301109960767654,0.0253285230574818,NaN,NaN,NaN,2,3,1,0,0.666666666666667,1,0.805581690753393,0.0134223983296105,0.00603291708184772,3
secondary,94,3,0.0220090132608196,0.0267725785285221,0.0218935021111832,NaN,NaN,NaN,2,3,1,0,0.666666666666667,1,0.798819725626749,0.0129995298083778,0.00605879410738657,3
secondary,95,3,0.0226850111887685,0.0273992599303911,0.0236074776364321,NaN,NaN,NaN,2,3,1,0,0.666666666666667,1,0.8015909046314,0.0134030070814502,0.00602850016289585,3
secondary,96,3,0.0271331699915849,0.0320423442720052,0.0274125309982176,NaN,NaN,NaN,1,3,2,0,0.333333333333333,1,0.793684102127376,0.01334108906566,0.00617732540755439,3
secondary,97,3,0.0174953894907296,0.0257171881166632,0.020851347627641,NaN,NaN,NaN,0,3,3,0,0,1,0.795573019457417,0.0130845230527878,0.00602999085222038,3
secondary,98,3,0.0239368389696977,0.0302526592095816,0.0256515504841229,NaN,NaN,NaN,1,3,2,0,0.333333333333333,1,0.796299274300934,0.0134300344193272,0.00616878166932829,3
secondary,99,3,0.0232562165647088,0.0294424420735776,0.0253961636164406,NaN,NaN,NaN,1,3,2,0,0.333333333333333,1,0.801860554986387,0.0134351578193339,0.00601842513243651,3
secondary,100,3,0.0204664395121565,0.0267486696856386,0.0229658505921229,NaN,NaN,NaN,0,3,3,0,0,1,0.814542997339326,0.0139476180782106,0.00601456715248001,3
secondary,101,3,0.0200725502322103,0.0270745877540722,0.0227161208712772,NaN,NaN,NaN,0,3,3,0,0,1,0.798276686966681,0.0127470724053915,0.00590238441735732,3
secondary,102,3,0.0217584764078147,0.0297510300930209,0.0253115017912379,NaN,NaN,NaN,0,3,3,0,0,1,0.798046253639107,0.0134714992304818,0.00616793819690931,3
secondary,103,3,0.0248400868334139,0.0298144005694079,0.0260124805819871,NaN,NaN,NaN,1,3,2,0,0.333333333333333,1,0.815720211904907,0.0134564943522548,0.00585388793976697,3
secondary,104,3,0.0178920035803913,0.0282195632030018,0.0239608562587537,NaN,NaN,NaN,0,3,3,0,0,1,0.814808265996298,0.0137615668350516,0.00602638490030532,3
secondary,105,3,0.0222968508092832,0.0295256506662789,0.0251549695226782,NaN,NaN,NaN,0,3,3,0,0,1,0.814895438568207,0.0136597151437045,0.00588804882112766,3
secondary,106,3,0.0193943095642489,0.0274181787999704,0.0237319772676779,NaN,NaN,NaN,0,3,3,0,0,1,0.805826729233294,0.0136470438743189,0.00602031024135807,3
secondary,107,3,0.0204956038687414,0.0273658423943893,0.0245360859120676,NaN,NaN,NaN,0,3,3,0,0,1,0.811577146489459,0.0137236650602668,0.00602168373921972,3
secondary,108,3,0.0170161741951131,0.0283969961009,0.0243832768086122,NaN,NaN,NaN,0,3,3,0,0,1,0.798994791954007,0.0132283502715753,0.00603730091135785,3
secondary,109,3,0.019998297863245,0.0314331415484006,0.0275973825165499,NaN,NaN,NaN,0,3,3,0,0,1,0.80957571865003,0.0135196648334837,0.00601514591972364,3
secondary,110,3,0.0201504204268546,0.0294871862902434,0.0261432442790981,NaN,NaN,NaN,0,3,3,0,0,1,0.805442348451093,0.0131399486272139,0.00588438826766008,3
secondary,111,3,0.0158226453170498,0.0287539148017159,0.0247568247824284,NaN,NaN,NaN,0,3,3,0,0,1,0.804830789191091,0.0134803955729016,0.00604658647473861,3
secondary,112,3,0.0198340739257059,0.0308069276626323,0.0271928414421248,NaN,NaN,NaN,0,3,3,0,0,1,0.805452840148833,0.0135404863088982,0.00602691130269088,3
secondary,113,3,0.0226931815928078,0.0333257703317687,0.0293077548365248,NaN,NaN,NaN,0,3,3,0,0,1,0.805223501955277,0.0138099487690925,0.0061760858533785,3
secondary,114,3,0.0200684081815258,0.0325083784142506,0.0280234106328156,NaN,NaN,NaN,0,3,3,0,0,1,0.810038464063458,0.0133286406190755,0.00590179948368579,3
secondary,115,3,0.0224773314032676,0.0319105636964255,0.0285047754339356,NaN,NaN,NaN,0,3,3,0,0,1,0.812633140532162,0.013775384929622,0.0060120919823324,3
secondary,116,3,0.0204113627605625,0.0322133470829726,0.0283264058063758,NaN,NaN,NaN,0,3,3,0,0,1,0.809040836806708,0.0135346744818254,0.00603245256277439,3
secondary,117,3,0.0204707228136584,0.0328893594258661,0.0294371627643845,NaN,NaN,NaN,0,3,3,0,0,1,0.8105612864572,0.0135997377046834,0.00601187618591255,3
secondary,118,3,0.0164790774575149,0.0310461057253078,0.0274949161532177,NaN,NaN,NaN,0,3,3,0,0,1,0.799070681087034,0.0137466963996203,0.00616749272022741,3
secondary,119,3,0.0191786030208066,0.0338517460582275,0.0296247982736792,NaN,NaN,NaN,0,3,3,0,0,1,0.807312865909275,0.0137823916071635,0.00602233568981818,3
secondary,120,3,0.01579927048689,0.0312026529672052,0.0276007515448675,NaN,NaN,NaN,0,3,3,0,0,1,0.803072677307479,0.0136329283317813,0.00618461694301921,3
secondary,121,3,0.0177295238134257,0.0326634417430284,0.0291293948546666,NaN,NaN,NaN,0,3,3,0,0,1,0.814771977708505,0.0143366476177828,0.00614996990568323,3
secondary,122,3,0.0187437905165559,0.0323287853629945,0.0291742294196836,NaN,NaN,NaN,0,3,3,0,0,1,0.81514045291714,0.013555389864377,0.00588083056342057,3
secondary,123,3,0.0158448675918738,0.0345058794058632,0.0299506773885451,NaN,NaN,NaN,0,3,3,0,0,1,0.796276273940561,0.0132659106961161,0.0060275124154928,3
secondary,124,3,0.0254156583280033,0.0363757754053204,0.032894093929083,NaN,NaN,NaN,0,3,3,0,0,1,0.810816292693659,0.0132856554190633,0.00588265926616202,3
