test_group,battery_no,cycle_idx,qnom_start_frac,qnom_was_clamped,rmse_ekf,rmse_gpr,rmse_bayes,delta_gpr_vs_ekf,delta_bayes_vs_ekf,delta_bayes_vs_gpr,rmse_ekf_late,rmse_gpr_late,rmse_bayes_late,delta_gpr_vs_ekf_late,delta_bayes_vs_ekf_late,delta_bayes_vs_gpr_late,mean_abs_residual_pred,mean_alpha_bayes,mean_sigma_ekf,mean_sigma_gpr,mean_gpr_scale_eff,mem_ekf_bad_in,mem_gpr_bad_in,rmse_v,is_bayes_improved_vs_ekf,is_bayes_better_than_gpr,is_bayes_worse_vs_ekf,is_bayes_worse_than_gpr,is_selected_cycle
secondary,113,1,1,1,0.0339733527667554,0.0416524118542306,0.0369642756723493,0.00767905908747525,0.00299092290559391,-0.00468813618188134,NaN,NaN,NaN,NaN,NaN,NaN,0.0195702529310307,0.803545309112115,0.0143550736836117,0.00627863594643246,1.85852090987979,0.55,0.2,0.112233844803953,0,1,1,0,1
secondary,113,2,0.97,1,0.0197293768826725,0.0323210277610013,0.027480444048867,0.0125916508783288,0.00775106716619444,-0.00484058371213434,NaN,NaN,NaN,NaN,NaN,NaN,0.019172996654095,0.801828030048544,0.0139678411883809,0.00633249846185299,1.87367102123865,0.501599055780016,0.287253602961435,0.110122764001223,0,1,1,0,1
secondary,113,3,0.94,1,0.0143768151289955,0.0260038713800742,0.0234785447883581,0.0116270562510788,0.00910172965936259,-0.00252532659171618,NaN,NaN,NaN,NaN,NaN,NaN,0.0223635749465606,0.810297166705173,0.0131069314352849,0.00591712315185006,1.86763331510957,0.46428069917615,0.357334757034477,0.111180941264808,0,1,1,0,1
