test_group,battery_no,cycle_idx,qnom_start_frac,qnom_was_clamped,rmse_ekf,rmse_gpr,rmse_bayes,delta_gpr_vs_ekf,delta_bayes_vs_ekf,delta_bayes_vs_gpr,rmse_ekf_late,rmse_gpr_late,rmse_bayes_late,delta_gpr_vs_ekf_late,delta_bayes_vs_ekf_late,delta_bayes_vs_gpr_late,mean_abs_residual_pred,mean_alpha_bayes,mean_sigma_ekf,mean_sigma_gpr,mean_gpr_scale_eff,mem_ekf_bad_in,mem_gpr_bad_in,rmse_v,is_bayes_improved_vs_ekf,is_bayes_better_than_gpr,is_bayes_worse_vs_ekf,is_bayes_worse_than_gpr,is_selected_cycle
secondary,109,1,1,1,0.0344636228032271,0.0424900418846769,0.0384701613709593,0.00802641908144987,0.00400653856773221,-0.00401988051371766,NaN,NaN,NaN,NaN,NaN,NaN,0.0196684531841504,0.81599323146263,0.0138424648038035,0.00581458802945576,1.84114095593737,0.55,0.2,0.112268588544419,0,1,1,0,1
secondary,109,2,0.97,1,0.0133841541271545,0.0283923443746146,0.023828973425552,0.01500819024746,0.0104448192983974,-0.00456337094906258,NaN,NaN,NaN,NaN,NaN,NaN,0.0222813580068637,0.818614914450502,0.0132664535218957,0.00587296695448549,1.8555080543315,0.497374848976316,0.277384875332974,0.110084122652586,0,1,1,0,1
secondary,109,3,0.94,1,0.0121471166593533,0.0234170383859102,0.0204930127531383,0.0112699217265569,0.008345896093785,-0.00292402563277192,NaN,NaN,NaN,NaN,NaN,NaN,0.0210911107257352,0.794119010036958,0.0134500761747519,0.00635788277522967,1.88427545638255,0.456925897559505,0.339205230387371,0.106364931201279,0,1,1,0,1
