test_group,battery_no,cycle_idx,qnom_start_frac,qnom_was_clamped,rmse_ekf,rmse_gpr,rmse_bayes,delta_gpr_vs_ekf,delta_bayes_vs_ekf,delta_bayes_vs_gpr,rmse_ekf_late,rmse_gpr_late,rmse_bayes_late,delta_gpr_vs_ekf_late,delta_bayes_vs_ekf_late,delta_bayes_vs_gpr_late,mean_abs_residual_pred,mean_alpha_bayes,mean_sigma_ekf,mean_sigma_gpr,mean_gpr_scale_eff,mem_ekf_bad_in,mem_gpr_bad_in,rmse_v,is_bayes_improved_vs_ekf,is_bayes_better_than_gpr,is_bayes_worse_vs_ekf,is_bayes_worse_than_gpr,is_selected_cycle
secondary,116,1,1,1,0.026059260787018,0.0378389825642704,0.0334271781717401,0.0117797217772524,0.00736791738472213,-0.00441180439253023,NaN,NaN,NaN,NaN,NaN,NaN,0.0211968260092173,0.826607070969754,0.0143851135667863,0.00581949141891706,1.83595826139034,0.55,0.2,0.12109585256031,0,1,1,0,1
secondary,116,2,0.97,1,0.0203344059274729,0.0309032674514462,0.0266164784873478,0.0105688615239733,0.00628207255987494,-0.00428678896409835,NaN,NaN,NaN,NaN,NaN,NaN,0.0211643063136051,0.83806358324336,0.014056398543857,0.00586719152623847,1.84823785790514,0.50172802471825,0.277920955291272,0.113706702805478,0,1,1,0,1
secondary,116,3,0.94,1,0.0148404215671965,0.0278977912332014,0.0249355607600394,0.0130573696660049,0.0100951391928429,-0.00296223047316198,NaN,NaN,NaN,NaN,NaN,NaN,0.0218335658279067,0.76245185620701,0.0121625113348328,0.00641067474316765,1.89647696275388,0.465220979174902,0.340348253064765,0.110661077344284,0,1,1,0,1
