test_group,battery_no,cycle_idx,qnom_start_frac,qnom_was_clamped,rmse_ekf,rmse_gpr,rmse_bayes,delta_gpr_vs_ekf,delta_bayes_vs_ekf,delta_bayes_vs_gpr,rmse_ekf_late,rmse_gpr_late,rmse_bayes_late,delta_gpr_vs_ekf_late,delta_bayes_vs_ekf_late,delta_bayes_vs_gpr_late,mean_abs_residual_pred,mean_alpha_bayes,mean_sigma_ekf,mean_sigma_gpr,mean_gpr_scale_eff,mem_ekf_bad_in,mem_gpr_bad_in,rmse_v,is_bayes_improved_vs_ekf,is_bayes_better_than_gpr,is_bayes_worse_vs_ekf,is_bayes_worse_than_gpr,is_selected_cycle
secondary,115,1,1,1,0.0323722281410539,0.0388907068157673,0.034509486050306,0.00651847867471339,0.00213725790925204,-0.00438122076546135,NaN,NaN,NaN,NaN,NaN,NaN,0.0211754869118208,0.829066363076243,0.0144837885790335,0.00583380221368679,1.83477546877399,0.55,0.2,0.111275613232404,0,1,1,0,1
secondary,115,2,0.97,1,0.0180446695158909,0.0300986949166021,0.0263918657722542,0.0120540254007112,0.00834719625636332,-0.00370682914434789,NaN,NaN,NaN,NaN,NaN,NaN,0.0197144555551546,0.829044087484491,0.013864324009571,0.00583200260046855,1.84866387076785,0.502036113131859,0.278142012641002,0.109478583710449,0,1,1,0,1
secondary,115,3,0.94,1,0.0170150965528579,0.026742289356907,0.0246129744792467,0.00972719280404916,0.00759787792638884,-0.00212931487766032,NaN,NaN,NaN,NaN,NaN,NaN,0.0222569659914119,0.779788971035751,0.0129780422002616,0.00637047113284187,1.88803202828207,0.464126813101174,0.339839943204914,0.113192654729974,0,1,1,0,1
