test_group,battery_no,cycle_idx,qnom_start_frac,qnom_was_clamped,rmse_ekf,rmse_gpr,rmse_bayes,delta_gpr_vs_ekf,delta_bayes_vs_ekf,delta_bayes_vs_gpr,rmse_ekf_late,rmse_gpr_late,rmse_bayes_late,delta_gpr_vs_ekf_late,delta_bayes_vs_ekf_late,delta_bayes_vs_gpr_late,mean_abs_residual_pred,mean_alpha_bayes,mean_sigma_ekf,mean_sigma_gpr,mean_gpr_scale_eff,mem_ekf_bad_in,mem_gpr_bad_in,rmse_v,is_bayes_improved_vs_ekf,is_bayes_better_than_gpr,is_bayes_worse_vs_ekf,is_bayes_worse_than_gpr,is_selected_cycle
secondary,112,1,1,1,0.0295996596656862,0.0397078111657269,0.0349978851984747,0.0101081515000407,0.00539822553278851,-0.00470992596725218,NaN,NaN,NaN,NaN,NaN,NaN,0.0203511595020692,0.818765861560485,0.0138388532131475,0.00584371755541311,1.84157884297793,0.55,0.2,0.104123707620084,0,1,1,0,1
secondary,112,2,0.97,1,0.0119925231436585,0.0282822638046681,0.0234921484190268,0.0162897406610096,0.0114996252753683,-0.00479011538564133,NaN,NaN,NaN,NaN,NaN,NaN,0.0216063822890014,0.794656551860569,0.0138345788053632,0.00632248936064392,1.87309764260612,0.498070896058495,0.277997495086286,0.106739249890254,0,1,1,0,1
secondary,112,3,0.94,1,0.0179100389677731,0.0244307080175018,0.0230884907088731,0.00652066904972875,0.00517845174110005,-0.0013422173086287,NaN,NaN,NaN,NaN,NaN,NaN,0.0232085691486755,0.802936107025444,0.0129480269081839,0.00591452699201561,1.86684307159103,0.461033984543772,0.349398187062532,0.113445149024527,0,1,1,0,1
