test_group,battery_no,cycle_idx,qnom_start_frac,qnom_was_clamped,rmse_ekf,rmse_gpr,rmse_bayes,delta_gpr_vs_ekf,delta_bayes_vs_ekf,delta_bayes_vs_gpr,rmse_ekf_late,rmse_gpr_late,rmse_bayes_late,delta_gpr_vs_ekf_late,delta_bayes_vs_ekf_late,delta_bayes_vs_gpr_late,mean_abs_residual_pred,mean_alpha_bayes,mean_sigma_ekf,mean_sigma_gpr,mean_gpr_scale_eff,mem_ekf_bad_in,mem_gpr_bad_in,rmse_v,is_bayes_improved_vs_ekf,is_bayes_better_than_gpr,is_bayes_worse_vs_ekf,is_bayes_worse_than_gpr,is_selected_cycle
secondary,121,1,1,1,0.0236019864050408,0.038393656400018,0.0339766564143845,0.0147916699949772,0.0103746700093436,-0.00441699998563352,NaN,NaN,NaN,NaN,NaN,NaN,0.0215848017356586,0.83028715688817,0.0147082305406309,0.00580619103438684,1.83204625856712,0.55,0.2,0.113025465730724,0,1,1,0,1
secondary,121,2,0.97,1,0.012140489063367,0.0289976650686023,0.0248382267335789,0.0168571760052353,0.0126977376702119,-0.00415943833502343,NaN,NaN,NaN,NaN,NaN,NaN,0.0218452987422885,0.810545041702376,0.0143355802454431,0.00630187183648796,1.86875190938076,0.504284405266257,0.277872952467709,0.113313667923121,0,1,1,0,1
secondary,121,3,0.94,1,0.0174460959718694,0.0305990037604648,0.0285733014160364,0.0131529077885954,0.011127205444167,-0.00202570234442844,NaN,NaN,NaN,NaN,NaN,NaN,0.0208536161964919,0.803483734534968,0.0139661320672743,0.00634184684617487,1.88106319551122,0.469818207330747,0.349421660182028,0.111271092651298,0,1,1,0,1
