model_type,cluster_id,n_cycles,mean_soh,mean_cycle_frac,mean_rmse_ekf,mean_rmse_v,mean_residual_std,mean_residual_late,mean_end_minus_mid,mean_abs_area,mean_peak_abs,frac_first,frac_middle,frac_last,frac_other
raw,1,43,1.02372099472254,0.37984496124031,0.048095535246817,0.112481449527987,0.0219438566078195,0.0675211449671675,0.0240242579167334,0.0422560067706136,0.07296403699993,0.86046511627907,0.13953488372093,0,0
raw,2,80,1.02352292581399,0.845833333333333,0.26316850242372,0.197583599769875,0.141362141843899,-0.0949408664971378,0.369280136891248,0.226791517556655,0.453407260903397,0,0.4625,0.5375,0
shape,1,80,1.02352292581399,0.845833333333333,0.26316850242372,0.197583599769875,0.141362141843899,-0.0949408664971378,0.369280136891248,0.226791517556655,0.453407260903397,0,0.4625,0.5375,0
shape,2,43,1.02372099472254,0.37984496124031,0.048095535246817,0.112481449527987,0.0219438566078195,0.0675211449671675,0.0240242579167334,0.0422560067706136,0.07296403699993,0.86046511627907,0.13953488372093,0,0
