battery_no,cycle_idx,num_cycles,cycle_frac,cycle_label,qnom_init_ah,soh_true,qnom_start_frac,rmse_ekf,rmse_v,residual_mean,residual_std,residual_late_mean,residual_end_minus_mid,residual_abs_area,residual_peak_abs,cluster_raw,cluster_shape
14,2,3,0.666666666666667,middle,1.07201579959914,1.02610427981689,0.463059665307421,0.276853018112752,0.20258636792157,-0.236569457692977,0.148201280617493,-0.0950063301004334,0.392235612971999,0.238891258441413,0.472549486009264,2,1
14,3,3,1,last,1.07201579959914,1.02610427981689,0.461351135493297,0.281857778932235,0.204908469629293,-0.239189290005563,0.153505540130849,-0.0949675503371574,0.401989509028198,0.242018504381055,0.489293911144519,2,1
16,1,3,0.333333333333333,first,1.08514757936392,1.0136870052687,1,0.0488178116908939,0.111566261919878,0.0389131763699043,0.0290871773013516,0.0837932986044647,0.0568774212060658,0.0388158522228275,0.0886471303868696,1,2
16,2,3,0.666666666666667,middle,1.08514757936392,1.0136870052687,0.451407292729055,0.289232155659082,0.2048621708349,-0.249277596061363,0.151362506015113,-0.0950216164117547,0.40712749928545,0.251420965040095,0.490015584436219,2,1
16,3,3,1,last,1.08514757936392,1.0136870052687,0.452923762324034,0.270858097424317,0.197362606102546,-0.230154258426575,0.147034377131036,-0.0949376223532978,0.382411281716762,0.232336783276719,0.458123324572222,2,1
18,1,3,0.333333333333333,first,1.08161697367701,1.01699587448272,1,0.0437533309596495,0.111475581015832,0.035422269753544,0.0253767755529183,0.0724819290720893,0.0446083685568739,0.0353427416231996,0.0771319957307302,1,2
18,2,3,0.666666666666667,middle,1.08161697367701,1.01699587448272,0.457111406115531,0.274423065907581,0.202448457999589,-0.234106889014541,0.147515048438667,-0.0949622384042725,0.388828080189443,0.236795892628237,0.469037065757332,2,1
18,3,3,1,last,1.08161697367701,1.01699587448272,0.454413550098736,0.273539464892324,0.199579732531931,-0.232692904936986,0.148080354701534,-0.0949603981090053,0.386129461547559,0.235450583977743,0.466072449956909,2,1
19,1,3,0.333333333333333,first,1.07960858690033,1.01888778335694,1,0.0388563055011346,0.111571644520585,0.0307003603609205,0.0235459040876728,0.0663649011866845,0.0457985249362697,0.0306170954618492,0.0712896341686246,1,2
19,2,3,0.666666666666667,middle,1.07960858690033,1.01888778335694,0.460760944630663,0.273285938065023,0.197432267672244,-0.233978973372986,0.145560294997647,-0.0949200963040764,0.383290486095022,0.236400898181705,0.457877758389578,2,1
19,3,3,1,last,1.07960858690033,1.01888778335694,0.454524009588159,0.277409799091076,0.202078549592397,-0.238321015781509,0.146433168604684,-0.0949578025239402,0.390903456152413,0.240446752312643,0.469236867488882,2,1
21,1,3,0.333333333333333,first,1.0747923715305,1.023453486587,1,0.0426918552054436,0.113636255860474,0.0362074160813849,0.0224761980979728,0.0650992578825848,0.0315676069746425,0.0361662481953063,0.0676681046074486,1,2
21,2,3,0.666666666666667,middle,1.0747923715305,1.023453486587,0.461701149625158,0.278883687707797,0.202880460833151,-0.23805255005189,0.149693195160094,-0.0949952008432088,0.393642371978721,0.2406635563912,0.470796563552986,2,1
21,3,3,1,last,1.0747923715305,1.023453486587,0.461885783480043,0.287130779207927,0.202197775804424,-0.247471486909525,0.150256471481447,-0.0949691088512201,0.402738001993594,0.24959917703358,0.485118848075697,2,1
23,1,3,0.333333333333333,first,1.0795402859331,1.01895224692724,1,0.0536835932795712,0.112989665079963,0.0453121353740541,0.0285614816385085,0.0834481210434455,0.04173561781497,0.0452629299271836,0.0871056757336847,1,2
23,2,3,0.666666666666667,middle,1.0795402859331,1.01895224692724,0.452336075178625,0.283517825662971,0.201068812370303,-0.243471101521053,0.149816323842888,-0.0949856870868414,0.399470169967615,0.24579819235653,0.480877032235634,2,1
