model_type,bestK,best_silhouette,p_kw_soh,p_kw_cycle_frac,p_kw_rmse_ekf,p_cyclelabel_cluster_assoc,cramersV_cyclelabel_cluster_assoc,mean_within_cluster_distance,mean_between_centroid_distance,separation_ratio
raw,2,0.99127573706596,0.945014568284506,1.31153991484191e-19,7.31958941770473e-20,1.6648894775513e-22,0.902995136383997,0.215886935672091,3.72252066772496,17.242917715869
shape,2,0.941255787333552,0.945014568284506,1.31153991484191e-19,7.31958941770473e-20,1.66488947755132e-22,0.902995136383997,2.36921319434835,18.4111258998203,7.77098740786146
