cycle_label,n_cycles,mean_soh,mean_cycle_frac,mean_rmse_ekf,mean_rmse_v,mean_residual_mean,mean_residual_std,mean_residual_late_mean,mean_residual_end_minus_mid,mean_residual_abs_area,mean_residual_peak_abs
first,37,1.02329273762298,0.333333333333333,0.0494166455877418,0.112491382221923,0.0437618603236987,0.0219871195856979,0.0681968240142809,0.022042527371089,0.0437511247406331,0.0738838601286208
middle,43,1.02372099472254,0.666666666666667,0.231661824981428,0.186016744244622,-0.188317580950101,0.12442479737932,-0.0728571602546074,0.322609971435018,0.199483821628294,0.399777603263766
last,43,1.02372099472254,1,0.263528229036346,0.197267189920083,-0.224816542123662,0.141599243480618,-0.0949368531107696,0.369480273425194,0.227063575587179,0.453160341817856
other,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
