K,silhouette_raw,CH_raw,DB_raw,silhouette_shape,CH_shape,DB_shape
2,0.99127573706596,6443.22344490769,0.108319507200593,0.941255787333552,986.69295533789,0.310691015739291
3,0.889309812957214,9074.01094760227,0.347063767044586,0.895744460282718,1211.19199481153,0.506007816175485
4,0.780459386136864,8114.22001548257,0.616650705600528,0.882216660365989,1230.58716970525,0.513276554890782
5,0.717003268739818,8502.13334700863,0.663218371553682,0.781084138094061,1394.9827581878,0.565936154531385
6,0.704669710813392,9207.22332817019,0.685239625601845,0.769997949445978,1566.4788008501,0.584466549332693
