scenario_name,battery_no,num_cycles_evaluated,mean_rmse_ekf,mean_rmse_gpr,mean_rmse_ekf_late,mean_rmse_gpr_late,num_gpr_improved_vs_ekf,num_gpr_worse_vs_ekf,gpr_improve_rate_vs_ekf,gpr_failure_rate_vs_ekf,num_qnom_clamped_cycles
current_bias,38,3,0.0403537794771342,0.0466449555053307,NaN,NaN,0,3,0,1,3
current_bias,40,3,0.0466930655220756,0.0493251172128772,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
current_bias,43,3,0.0310158593712546,0.0429630149265796,NaN,NaN,0,3,0,1,3
current_bias,45,3,0.0360498680385581,0.0416072779017688,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
current_bias,47,3,0.0310912976183015,0.0408726635391623,NaN,NaN,0,3,0,1,3
current_bias,49,3,0.0352107810892459,0.0415208103223015,NaN,NaN,0,3,0,1,3
current_bias,51,3,0.0336488624220337,0.0418714246348129,NaN,NaN,0,3,0,1,3
current_bias,53,3,0.0420730635235614,0.0453837707582101,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
current_bias,55,3,0.0318348823765962,0.0394284323344189,NaN,NaN,0,3,0,1,3
current_bias,57,3,0.0418467937434772,0.0463610135813494,NaN,NaN,0,3,0,1,3
current_bias,59,3,0.0373968822866125,0.0436324903630974,NaN,NaN,0,3,0,1,3
current_bias,61,3,0.0377789371386931,0.0396584592621683,NaN,NaN,0,3,0,1,3
current_bias,63,3,0.0365239161645721,0.0417340489057388,NaN,NaN,0,3,0,1,3
current_bias,65,3,0.0334062054596609,0.038763383139543,NaN,NaN,0,3,0,1,3
current_bias,67,3,0.0358597664540416,0.0381631737524417,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
current_bias,69,3,0.0373780822849156,0.0402169919585502,NaN,NaN,0,3,0,1,3
current_bias,71,3,0.0330240417443393,0.0362905286494801,NaN,NaN,0,3,0,1,3
current_bias,73,3,0.0377278477894229,0.0400108217084021,NaN,NaN,0,3,0,1,3
current_bias,75,3,0.0302739143519501,0.0344402012718742,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
current_bias,77,3,0.0351006153850804,0.0371563304405165,NaN,NaN,0,3,0,1,3
current_bias,79,3,0.0378497414431715,0.0380340762610991,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
current_bias,81,3,0.029316577133232,0.032411631459378,NaN,NaN,0,3,0,1,3
current_bias,83,3,0.033221192566167,0.034089135149144,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
current_bias,84,3,0.0228319979152919,0.0217652353964989,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
high_noise,1,3,0.0239586832270917,0.0363896412660253,NaN,NaN,0,3,0,1,3
high_noise,3,3,0.0223108535136279,0.0373682006482719,NaN,NaN,0,3,0,1,3
high_noise,5,3,0.023041347319004,0.0378509200385575,NaN,NaN,0,3,0,1,3
high_noise,7,3,0.0286369552959616,0.0408341520083845,NaN,NaN,0,3,0,1,3
