scenario_name,battery_no,cycle_idx,phase,soh_proxy,qnom_was_clamped,init_soc_offset,i_noise_mult,v_noise_mult,current_bias_frac,rmse_ekf,rmse_gpr,delta_gpr_vs_ekf,res_energy_ekf,res_energy_gpr,late_peak_ekf,late_t_ekf,late_peak_gpr,late_t_gpr,mid_valley_ekf,mid_t_ekf,mid_valley_gpr,mid_t_gpr,rmse_v
baseline,13,2,MIDDLE,0.97,1,0,1,1,0,0.0257441580292292,0.0422707779836398,0.0165266199544107,0.000649684573650676,0.00175747785409979,0.0520995457385733,0.954545454545455,0.0817024216451958,0.954545454545455,-0.002512697522601,0.204545454545455,-0.032512697522601,0.204545454545455,0.107587124483425
baseline,13,3,LAST,0.94,1,0,1,1,0,0.0158893828888797,0.034380903806764,0.0184915209178843,0.000248082030095089,0.00117241026834892,0.031528473541898,0.931818181818182,0.0590813349092263,0.977272727272727,-0.0126056742834763,0.431818181818182,-0.0409625566388302,0.363636363636364,0.116081871524354
baseline,17,1,FIRST,1,1,0,1,1,0,0.035009032162116,0.0500535336466571,0.0150445014845411,0.00120168536052464,0.00245593260271483,0.0669301718328785,0.977272727272727,0.0969301718328786,0.977272727272727,0.00313704837051945,0.204545454545455,-0.0268629516294805,0.204545454545455,0.109469355831221
baseline,17,2,MIDDLE,0.97,1,0,1,1,0,0.0253216259130462,0.0383324401568897,0.0130108142438436,0.000635646781331122,0.00144656789117948,0.0441907031751553,0.954545454545455,0.0741907031751553,0.954545454545455,0.00470335531753452,0.295454545454545,-0.0252966446824655,0.295454545454545,0.111324004172838
baseline,17,3,LAST,0.94,1,0,1,1,0,0.00982931677945338,0.0298886870890291,0.0200593703095757,9.49290044639863e-05,0.000897259488185198,0.0137585519622831,0.863636363636364,0.043155522547248,0.886363636363636,-0.0143981700772793,0.431818181818182,-0.0425271403636339,0.363636363636364,0.10910513163872
baseline,20,1,FIRST,1,1,0,1,1,0,0.0465066124756834,0.0531094212470402,0.00660280877135674,0.00213519600817919,0.00274948490819936,0.081702675342862,0.931818181818182,0.105167860523294,0.977272727272727,0.00692408952586987,0.227272727272727,-0.0230759104741301,0.227272727272727,0.11456712176924
baseline,20,2,MIDDLE,0.97,1,0,1,1,0,0.0247599283858616,0.0420047300243088,0.0172448016384472,0.000602504960945593,0.00174066976692857,0.0479966345107066,0.954545454545455,0.0779966345107066,0.954545454545455,-0.00346063681162689,0.159090909090909,-0.0334606368116269,0.159090909090909,0.108346334030628
baseline,20,3,LAST,0.94,1,0,1,1,0,0.0121002218846808,0.0337630603995501,0.0216628385148693,0.000145696691663349,0.00114813576298833,0.0114533054566321,0.886363636363636,0.0414533054566322,0.886363636363636,-0.0196851785070664,0.409090909090909,-0.0489880890410411,0.295454545454545,0.107883882423268
baseline,22,1,FIRST,1,1,0,1,1,0,0.0495176251696485,0.0582682983004331,0.00875067313078462,0.00242729446282744,0.00332569797452439,0.0839756532011894,0.954545454545455,0.113114214135544,0.977272727272727,0.00639777141825093,0.159090909090909,-0.0236022285817491,0.159090909090909,0.120484813406341
baseline,22,2,MIDDLE,0.97,1,0,1,1,0,0.0380873830747968,0.0462789518624434,0.00819156878764662,0.00143791359384721,0.00209306038272009,0.0663716717518793,0.909090909090909,0.0906804734470196,0.977272727272727,0.0094569022253545,0.159090909090909,-0.0205430977746455,0.159090909090909,0.111653426785923
baseline,22,3,LAST,0.94,1,0,1,1,0,0.0286553212724512,0.0353636184112327,0.00670829713878154,0.000822280825657181,0.0012278316415945,0.0483455110164946,0.795454545454545,0.0658936913132614,0.977272727272727,0.00169829473405037,0.340909090909091,-0.0283017052659496,0.340909090909091,0.112207840915809
baseline,24,1,FIRST,1,1,0,1,1,0,0.0408928153170631,0.0541672833286251,0.0132744680115621,0.00165696918418404,0.00289229231932932,0.0711905972256468,0.954545454545455,0.101190597225647,0.954545454545455,0.00554358846963038,0.159090909090909,-0.0244564115303696,0.159090909090909,0.112632908464927
baseline,24,2,MIDDLE,0.97,1,0,1,1,0,0.0363814606954305,0.0439578310342898,0.00757637033885934,0.0013190720082628,0.00189582517224881,0.0623642909197768,0.840909090909091,0.0830481440031228,0.977272727272727,0.0029855316372735,0.25,-0.0270144683627265,0.25,0.11070641531523
baseline,24,3,LAST,0.94,1,0,1,1,0,0.0207642344645651,0.0325275814392435,0.0117633469746784,0.00043211494365262,0.00104860817896645,0.0366513929684751,0.795454545454545,0.0566916266989829,0.931818181818182,0.000308565543308187,0.227272727272727,-0.0296914344566918,0.227272727272727,0.118646407602267
baseline,26,1,FIRST,1,1,0,1,1,0,0.0488105178797628,0.0559493545095015,0.00713883662973875,0.00237476862353499,0.00308065409869939,0.0735452242852402,0.954545454545455,0.10354522428524,0.954545454545455,0.0084492409713062,0.159090909090909,-0.0215507590286938,0.159090909090909,0.101647172835441
baseline,26,2,MIDDLE,0.97,1,0,1,1,0,0.0281218915771514,0.0437384478462493,0.0156165562690979,0.000783005529219901,0.00189045842380781,0.0484599038633903,0.931818181818182,0.0784599038633903,0.931818181818182,0.00079374286563566,0.295454545454545,-0.0292062571343643,0.295454545454545,0.114421062932622
baseline,26,3,LAST,0.94,1,0,1,1,0,0.0107372606963213,0.0334100711722523,0.022672810475931,0.000113916473651753,0.00112427537642589,0.0168504607027736,0.840909090909091,0.0468504607027737,0.840909090909091,-0.0150886867868933,0.340909090909091,-0.0434081184753864,0.295454545454545,0.107947926114428
baseline,28,1,FIRST,1,1,0,1,1,0,0.0564485047401224,0.0570092813184595,0.000560776578337113,0.0031712107288875,0.00317945517457937,0.086609752637188,0.977272727272727,0.10899527230928,0.977272727272727,0.011791153599975,0.159090909090909,-0.018208846400025,0.159090909090909,0.115068673150857
baseline,28,2,MIDDLE,0.97,1,0,1,1,0,0.0333116380001855,0.0450023285208473,0.0116906905206618,0.0011008518988629,0.00199178332268097,0.0573096274266437,0.818181818181818,0.0838697585805736,0.977272727272727,0.00219937941427512,0.204545454545455,-0.0278006205857249,0.204545454545455,0.110813763130623
baseline,28,3,LAST,0.94,1,0,1,1,0,0.0211348721637927,0.0340361476554418,0.0129012754916491,0.000449819189465649,0.00115599874159742,0.0370623281347804,0.795454545454545,0.0570306720585247,0.954545454545455,-0.00398699054701229,0.295454545454545,-0.0339869905470123,0.295454545454545,0.113393785852869
